release_year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,popular_genre,max_mean
1974,0.30434782608695654,0.17391304347826086,0.021739130434782608,0.2608695652173913,0.32608695652173914,0.043478260869565216,0.45652173913043476,0.08695652173913043,0.06521739130434782,0.0,0.021739130434782608,0.17391304347826086,0.021739130434782608,0.10869565217391304,0.08695652173913043,0.10869565217391304,0.021739130434782608,0.43478260869565216,0.021739130434782608,0.043478260869565216,Drama,0.45652173913043476
1975,0.22727272727272727,0.18181818181818182,0.022727272727272728,0.2727272727272727,0.13636363636363635,0.022727272727272728,0.38636363636363635,0.045454545454545456,0.09090909090909091,0.0,0.06818181818181818,0.18181818181818182,0.06818181818181818,0.18181818181818182,0.045454545454545456,0.25,0.0,0.29545454545454547,0.045454545454545456,0.06818181818181818,Drama,0.38636363636363635
1976,0.2765957446808511,0.1276595744680851,0.0,0.2553191489361702,0.1702127659574468,0.02127659574468085,0.46808510638297873,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.19148936170212766,0.06382978723404255,0.14893617021276595,0.10638297872340426,0.10638297872340426,0.02127659574468085,0.3617021276595745,0.0425531914893617,0.06382978723404255,Drama,0.46808510638297873
1977,0.24561403508771928,0.2631578947368421,0.08771929824561403,0.19298245614035087,0.03508771929824561,0.017543859649122806,0.42105263157894735,0.14035087719298245,0.15789473684210525,0.0,0.07017543859649122,0.24561403508771928,0.05263157894736842,0.08771929824561403,0.07017543859649122,0.19298245614035087,0.0,0.21052631578947367,0.07017543859649122,0.017543859649122806,Drama,0.42105263157894735
1978,0.23076923076923078,0.16923076923076924,0.03076923076923077,0.2153846153846154,0.09230769230769231,0.046153846153846156,0.4461538461538462,0.09230769230769231,0.07692307692307693,0.015384615384615385,0.03076923076923077,0.2923076923076923,0.046153846153846156,0.1076923076923077,0.07692307692307693,0.24615384615384617,0.046153846153846156,0.3384615384615385,0.06153846153846154,0.015384615384615385,Drama,0.4461538461538462
1979,0.14035087719298245,0.14035087719298245,0.017543859649122806,0.3333333333333333,0.14035087719298245,0.0,0.5263157894736842,0.08771929824561403,0.0,0.0,0.05263157894736842,0.19298245614035087,0.07017543859649122,0.07017543859649122,0.14035087719298245,0.17543859649122806,0.0,0.2807017543859649,0.05263157894736842,0.07017543859649122,Drama,0.5263157894736842
1980,0.34615384615384615,0.1794871794871795,0.0,0.32051282051282054,0.11538461538461539,0.0,0.41025641025641024,0.05128205128205128,0.08974358974358974,0.02564102564102564,0.0641025641025641,0.20512820512820512,0.05128205128205128,0.11538461538461539,0.11538461538461539,0.14102564102564102,0.01282051282051282,0.32051282051282054,0.02564102564102564,0.0641025641025641,Drama,0.41025641025641024
1981,0.2073170731707317,0.17073170731707318,0.036585365853658534,0.24390243902439024,0.12195121951219512,0.024390243902439025,0.3902439024390244,0.06097560975609756,0.036585365853658534,0.0,0.06097560975609756,0.2926829268292683,0.036585365853658534,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.012195121951219513,0.32926829268292684,0.024390243902439025,0.0,Drama,0.3902439024390244
1982,0.20987654320987653,0.12345679012345678,0.07407407407407407,0.345679012345679,0.1111111111111111,0.012345679012345678,0.4074074074074074,0.09876543209876543,0.16049382716049382,0.024691358024691357,0.024691358024691357,0.24691358024691357,0.07407407407407407,0.12345679012345678,0.14814814814814814,0.16049382716049382,0.012345679012345678,0.20987654320987653,0.024691358024691357,0.024691358024691357,Drama,0.4074074074074074
1983,0.2625,0.175,0.0375,0.35,0.1375,0.0,0.4375,0.05,0.125,0.0125,0.0125,0.1625,0.0625,0.0625,0.175,0.2,0.0125,0.3,0.0125,0.0125,Drama,0.4375
1984,0.3142857142857143,0.20952380952380953,0.009523809523809525,0.3619047619047619,0.14285714285714285,0.01904761904761905,0.38095238095238093,0.08571428571428572,0.14285714285714285,0.0,0.047619047619047616,0.17142857142857143,0.10476190476190476,0.0380952380952381,0.18095238095238095,0.2571428571428571,0.009523809523809525,0.22857142857142856,0.02857142857142857,0.0,Drama,0.38095238095238093
1985,0.25688073394495414,0.25688073394495414,0.01834862385321101,0.46788990825688076,0.12844036697247707,0.009174311926605505,0.3669724770642202,0.11009174311926606,0.12844036697247707,0.0,0.009174311926605505,0.12844036697247707,0.01834862385321101,0.027522935779816515,0.1926605504587156,0.1559633027522936,0.0,0.22018348623853212,0.01834862385321101,0.027522935779816515,Comedy,0.46788990825688076
